barcode	replica	sampling	depth	completeness	pangolin	seq
barcode02	4	10000	10.4312	NA	AY.4	omicron
barcode02	4	1500	3.27754	NA	Unassigned	omicron
barcode02	4	2000	4.89932	NA	Unassigned	omicron
barcode02	4	2500	6.47307	NA	Unassigned	omicron
barcode02	4	3000	7.51774	NA	Unassigned	omicron
barcode02	4	3500	7.96907	NA	Unassigned	omicron
barcode02	4	4000	8.697	NA	AY.4	omicron
barcode02	4	4500	10.4312	NA	AY.4	omicron
barcode02	4	500	1.62153	NA	Unassigned	omicron
barcode02	4	5000	10.4312	NA	AY.4	omicron
barcode02	4	5500	10.4312	NA	AY.4	omicron
barcode02	4	6000	10.4312	NA	AY.4	omicron
barcode02	4	6500	10.4312	NA	AY.4	omicron
barcode02	4	7000	10.4312	NA	AY.4	omicron
barcode02	4	7500	10.4312	NA	AY.4	omicron
barcode02	4	8000	10.4312	NA	AY.4	omicron
barcode02	4	8500	10.4312	NA	AY.4	omicron
barcode02	4	9000	10.4312	NA	AY.4	omicron
barcode02	4	9500	10.4312	NA	AY.4	omicron
barcode02	5	1000	3.55295	NA	Unassigned	omicron
barcode02	5	10000	10.4312	NA	AY.4	omicron
barcode02	5	1500	4.63217	NA	Unassigned	omicron
barcode02	5	2000	5.78772	NA	Unassigned	omicron
barcode02	5	2500	7.12442	NA	Unassigned	omicron
barcode02	5	3000	8.19378	NA	Unassigned	omicron
barcode02	5	3500	9.00631	NA	Unassigned	omicron
barcode02	5	4000	9.96561	NA	AY.4	omicron
barcode02	5	4500	10.4312	NA	AY.4	omicron
barcode02	5	500	1.76562	NA	Unassigned	omicron
barcode02	5	5000	10.4312	NA	AY.4	omicron
barcode02	5	5500	10.4312	NA	AY.4	omicron
barcode02	5	6000	10.4312	NA	AY.4	omicron
barcode02	5	6500	10.4312	NA	AY.4	omicron
barcode02	5	7000	10.4312	NA	AY.4	omicron
barcode02	5	7500	10.4312	NA	AY.4	omicron
barcode02	5	8000	10.4312	NA	AY.4	omicron
barcode02	5	8500	10.4312	NA	AY.4	omicron
barcode02	5	9000	10.4312	NA	AY.4	omicron
barcode02	5	9500	10.4312	NA	AY.4	omicron
barcode03	1	1000	103.529	87.6526717557252	AY.46.6	omicron
barcode03	1	10000	455.648	88.0916030534351	AY.46.6	omicron
barcode03	1	1500	154.864	87.6526717557252	AY.46.6	omicron
barcode03	1	2000	198.297	87.6717557251908	AY.46.6	omicron
barcode03	1	2500	239.436	87.6145038167939	AY.46.6	omicron
barcode03	1	3000	277.526	87.9389312977099	AY.46.6	omicron
barcode03	1	3500	310.544	88.1297709923664	AY.46.6	omicron
barcode03	1	4000	339.657	88.1297709923664	AY.46.6	omicron
barcode03	1	4500	364.648	88.0343511450382	AY.46.6	omicron
barcode03	1	500	51.5953	87.6526717557252	AY.46.6	omicron
barcode03	1	5000	382.026	88.0534351145038	AY.46.6	omicron
barcode03	1	5500	399.033	88.0534351145038	AY.46.6	omicron
barcode03	1	6000	414.004	88.1106870229008	AY.46.6	omicron
barcode03	1	6500	427.903	88.0916030534351	AY.46.6	omicron
barcode03	1	7000	435.525	88.0916030534351	AY.46.6	omicron
barcode03	1	7500	441.722	88.0916030534351	AY.46.6	omicron
barcode03	1	8000	445.74	88.0916030534351	AY.46.6	omicron
barcode03	1	8500	448.423	88.0916030534351	AY.46.6	omicron
barcode03	1	9000	451.395	88.1297709923664	AY.46.6	omicron
barcode03	1	9500	454.178	88.0916030534351	AY.46.6	omicron
barcode03	2	1000	119.442	87.6145038167939	AY.46.6	omicron
barcode03	2	10000	458.258	88.1106870229008	AY.46.6	omicron
barcode03	2	1500	156.232	87.6335877862595	AY.46.6	omicron
barcode03	2	2000	196.439	87.6908396946565	AY.46.6	omicron
barcode03	2	2500	233.071	87.5190839694657	AY.46.6	omicron
barcode03	2	3000	272.241	87.9770992366412	AY.46.6	omicron
barcode03	2	3500	307.01	87.9580152671756	AY.46.6	omicron
barcode03	2	4000	333.609	88.0343511450382	AY.46.6	omicron
barcode03	2	4500	355.985	88.0152671755725	AY.46.6	omicron
barcode03	2	500	58.3999	83.3015267175573	AY.46.6	omicron
barcode03	2	5000	377.091	88.0343511450382	AY.46.6	omicron
barcode03	2	5500	395.331	88.1297709923664	AY.46.6	omicron
barcode03	2	6000	411.912	88.1488549618321	AY.46.6	omicron
barcode03	2	6500	427.722	88.0534351145038	AY.46.6	omicron
barcode03	2	7000	436.257	88.0916030534351	AY.46.6	omicron
barcode03	2	7500	443.457	88.0916030534351	AY.46.6	omicron
barcode03	2	8000	447.906	88.1106870229008	AY.46.6	omicron
barcode03	2	8500	451.055	88.0916030534351	AY.46.6	omicron
barcode03	2	9000	453.681	88.0725190839695	AY.46.6	omicron
barcode03	2	9500	456.31	88.0725190839695	AY.46.6	omicron
barcode03	3	1000	117.107	87.6717557251908	AY.46.6	omicron
barcode03	3	10000	458.562	88.0916030534351	AY.46.6	omicron
barcode03	3	1500	169.825	87.6908396946565	AY.46.6	omicron
barcode03	3	2000	218.74	87.6908396946565	AY.46.6	omicron
barcode03	3	2500	256.774	88.0343511450382	AY.46.6	omicron
barcode03	3	3000	296.421	88.1106870229008	AY.46.6	omicron
barcode03	3	3500	337.461	88.1106870229008	AY.46.6	omicron
barcode03	3	4000	371.609	88.0534351145038	AY.46.6	omicron
barcode03	3	4500	399.047	88.0916030534351	AY.46.6	omicron
barcode03	3	500	60.0494	87.3282442748092	AY.46.6	omicron
barcode03	3	5000	418.23	88.1106870229008	AY.46.6	omicron
barcode03	3	5500	437.138	88.1106870229008	AY.46.6	omicron
barcode03	3	6000	451.545	88.1297709923664	AY.46.6	omicron
barcode03	3	6500	463.451	88.0916030534351	AY.46.6	omicron
barcode03	3	7000	472.857	88.0916030534351	AY.46.6	omicron
barcode03	3	7500	440.592	88.0916030534351	AY.46.6	omicron
barcode03	3	8000	444.767	88.1297709923664	AY.46.6	omicron
barcode03	3	8500	448.907	88.0725190839695	AY.46.6	omicron
barcode03	3	9000	451.677	88.0916030534351	AY.46.6	omicron
barcode03	3	9500	456.203	88.0916030534351	AY.46.6	omicron
barcode03	4	1000	118.897	87.6335877862595	AY.46.6	omicron
barcode03	4	10000	458.68	88.0534351145038	AY.46.6	omicron
barcode03	4	1500	175.592	87.5954198473282	AY.46.6	omicron
barcode03	4	2000	223.293	87.5763358778626	AY.46.6	omicron
barcode03	4	2500	264.627	87.8625954198473	AY.46.6	omicron
barcode03	4	3000	303.208	88.0343511450382	AY.46.6	omicron
barcode03	4	3500	344.194	88.0534351145038	AY.46.6	omicron
barcode03	4	4000	342.137	88.0343511450382	AY.46.6	omicron
barcode03	4	4500	366.857	88.0725190839695	AY.46.6	omicron
barcode03	4	500	60.4634	82.2900763358779	AY.46.6	omicron
barcode03	4	5000	385.296	88.0916030534351	AY.46.6	omicron
barcode03	4	5500	403.799	88.0916030534351	AY.46.6	omicron
barcode03	4	6000	418.256	88.0534351145038	AY.46.6	omicron
barcode03	4	6500	428.186	88.0725190839695	AY.46.6	omicron
barcode03	4	7000	436.543	88.0725190839695	AY.46.6	omicron
barcode03	4	7500	442.536	88.0725190839695	AY.46.6	omicron
barcode03	4	8000	447.585	88.0916030534351	AY.46.6	omicron
barcode03	4	8500	451.144	88.0916030534351	AY.46.6	omicron
barcode03	4	9000	453.918	88.0916030534351	AY.46.6	omicron
barcode03	4	9500	456.852	88.0534351145038	AY.46.6	omicron
barcode03	5	1000	103.46	87.5954198473282	AY.46.6	omicron
barcode03	5	10000	458.401	88.1106870229008	AY.46.6	omicron
barcode03	5	1500	156.485	87.6335877862595	AY.46.6	omicron
barcode03	5	2000	200.075	87.6908396946565	AY.46.6	omicron
barcode03	5	2500	237.147	87.6908396946565	AY.46.6	omicron
barcode03	5	3000	276.458	88.0152671755725	AY.46.6	omicron
barcode03	5	3500	314.005	88.1297709923664	AY.46.6	omicron
barcode03	5	4000	342.332	88.0152671755725	AY.46.6	omicron
barcode03	5	4500	365.426	88.0152671755725	AY.46.6	omicron
barcode03	5	500	52.6724	87.4236641221374	AY.46.6	omicron
barcode03	5	5000	385.665	88.0343511450382	AY.46.6	omicron
barcode03	5	5500	404.457	88.1488549618321	AY.46.6	omicron
barcode03	5	6000	419.391	88.0916030534351	AY.46.6	omicron
barcode03	5	6500	428.73	87.9770992366412	AY.46.6	omicron
barcode03	5	7000	436.315	88.0343511450382	AY.46.6	omicron
barcode03	5	7500	442.868	88.0152671755725	AY.46.6	omicron
barcode03	5	8000	447.659	87.9961832061069	AY.46.6	omicron
barcode03	5	8500	450.625	88.0725190839695	AY.46.6	omicron
barcode03	5	9000	453.422	88.0343511450382	AY.46.6	omicron
barcode03	5	9500	456.407	88.0343511450382	AY.46.6	omicron
barcode13	1	1000	67.886	73.0152671755725	BA.1	omicron
barcode13	1	10000	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	1500	104.408	97.6335877862595	Unassigned	omicron
barcode13	1	2000	132.926	97.6526717557252	Unassigned	omicron
barcode13	1	2500	155.608	98.0725190839695	BA.1	omicron
barcode13	1	3000	180.469	98.0152671755725	Unassigned	omicron
barcode13	1	3500	198.05	98.0343511450382	Unassigned	omicron
barcode13	1	4000	217.546	98.0152671755725	Unassigned	omicron
barcode13	1	4500	235.259	98.0152671755725	Unassigned	omicron
barcode13	1	500	32.2939	NA	BA.1.1	omicron
barcode13	1	5000	251.239	98.0152671755725	Unassigned	omicron
barcode13	1	5500	265.736	98.0152671755725	Unassigned	omicron
barcode13	1	6000	277.089	98.0152671755725	Unassigned	omicron
barcode13	1	6500	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	7000	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	7500	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	8000	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	8500	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	9000	292.197	98.0152671755725	Unassigned	omicron
barcode13	1	9500	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	1000	64.6949	82.9770992366412	BA.1	omicron
barcode13	2	10000	292.197	98.0152671755725	Unassigned	omicron
barcode13	2	1500	98.4368	88.4160305343511	BA.1	omicron
barcode13	2	2000	127.562	88.4160305343511	BA.1	omicron
barcode13	2	2500	148.923	98.0152671755725	Unassigned	omicron
barcode13	2	3000	167.956	98.0152671755725	Unassigned	omicron
